idx,Text
1,"Мы предлагаем различные способы оплаты, включая оплату картой, банковские переводы и платежные системы."
2,"Мы принимаем платежи с помощью различных карт, таких как Visa, MasterCard, МИР."
3,"Вы можете совершить оплату через банковский перевод. Вот наши банковские реквизиты: xxx."
4,"Мы поддерживаем платежи через популярные платежные системы, такие как PayPal, Яндекс Деньги, и Apple Pay."
5,"Мы не принимаем оплату наличными."
6,"Время доставки зависит от вашего региона. Обычно доставка занимает от 3 до 7 рабочих дней. Для получения более подробной информации о сроках доставки в вашем регионе, пожалуйста, свяжитесь с нашей службой поддержки клиентов."
7,"Да, вы можете отслеживать статус вашего заказа на нашем сайте. После оформления заказа вы получите уникальный номер для отслеживания, который позволит вам следить за перемещением вашей посылки."
8,"Мы имеем программу лояльности для наших постоянных клиентов. За каждую покупку вы получаете бонусы, которые могут быть использованы для скидок на будущие заказы."
9,"Если вы не удовлетворены вашей покупкой, вы можете вернуть или обменять товар в течение 30 дней с момента покупки. Подробности о нашей политике возврата и обмена можно найти на нашем сайте."
10,"Мы регулярно проводим акции и предлагаем скидки на определенные товары и категории. Пожалуйста, следите за нашими новостями и акциями на сайте."
11,"Если у вас возникнут вопросы или проблемы, наши операторы службы поддержки клиентов всегда готовы помочь. Вы можете связаться с нами по электронной почте или через онлайн-чат на сайте."
12,"Если у вас есть дополнительные вопросы о продуктах, наши сотрудники с удовольствием предоставят вам всю необходимую информацию. Свяжитесь с нами для получения подробной консультации."